,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name
535,['University of Florida'],United States,http://www.mastersportal.eu/studies/96598/physics.html,msc,24,months,,,691,USD,credit,80,The Department of Physics offers the Master of Science (thesis or nonthesis) and the Doctor of Philosophy degrees. The nonthesis Master of Science in Teaching is also offered. Requirements for these degrees are described in the General Information section of this catalog. ,Physics
536,['University of Wyoming'],United States,http://www.mastersportal.eu/studies/117734/geophysics.html,msc,24,months,,,13802,USD,semester,76,"Graduate education, leading either to the Master of Science and Doctor of Philosophy degree in Geology or Geophysics, is a major focus of the Department of Geology and Geophysics at the University of Wyoming.",Geophysics
537,['Indiana University - Purdue University Indianapolis'],United States,http://www.mastersportal.eu/studies/105370/physics.html,msc,24,months,,,957,USD,credit,95,The School of Science offers many undergraduate and graduate programs that will prepare students for a variety of careers open to scientists.,Physics
538,"['Morrissey college of arts and sciences', 'Boston College']",United States,http://www.mastersportal.eu/studies/121267/teaching-physics.html,msc,24,months,,,1512,USD,credit,100,The Master of Science in Teaching (M.S.T.) degree is administered through the Lynch Graduate School of Education in cooperation with the Department of Physics. It requires admission to both the Lynch School of Education and to the Department of Physics.,Teaching (M.S.T.) -Physics
539,['University of Maryland Center for Environmental Science'],United States,http://www.mastersportal.eu/studies/67448/physical-oceanography.html,,48,months,0,,,,,,"University of Maryland Center for Environmental Science, Physical Oceanography - In the past decade, the University System of Maryland has emerged as a nationally and internationally recognized center for oceanographic research.",Physical Oceanography
540,,,http://www.mastersportal.eu/studies/53975/physics.html,mphil,24,months,,,,,,,"Swansea is a research led University to which the Physics department makes a significant contribution, meaning that as a Postgraduate Physics Student you will benefit from the knowledge and skills of internationally renowned academics.",Physics
541,['University of Rijeka Faculty of Economics'],Croatia,http://www.mastersportal.eu/studies/195913/physics-and-philosophy.html,msc,24,months,120,,,,,,"The graduate programme we offer provides the students with
more specialized knowledge focused on meeting requirements for teaching profession, which does not preclude by any
means a future employment in some other segments of modern society, directed towards development of advanced
technologies.",Physics and Philosophy
542,"['Lund University', 'Faculty of Science']",Sweden,http://www.mastersportal.eu/studies/38489/physics.html,msc,24,months,120,,29626,EUR,full,90,As a Master’s student in Physics (Particle Physics) from Lund University you will be given the opportunity to follow the progress of those experiments and to take an active part in looking at the data as it is recorded by the experiments.,Physics (Particle Physics Specialisation)
543,['Rowan University'],United States,http://www.mastersportal.eu/studies/148001/science-technology-engineering-and-mathematics-education.html,ma,24,months,,,820,USD,module,79,"Rowan University’s M.A. in Science, Technology, Engineering, and Mathematics (STEM) Education was designed to address this need and prepare students for successful careers as highly skilled math, science and technology teachers.","Science, Technology, Engineering, and Mathematics (STEM) Education"
544,"['Leiden University', 'Faculty of Natural Sciences, Mathematics and Computer Science']",Netherlands,http://www.mastersportal.eu/studies/40177/physics-research-in-physics-cosmology.html,msc,24,months,120,,19900,EUR,year,90,"This specialisation guarantees a solid grounding in issues at the leading edge of the physical sciences, complemented by practical training in communications and computer skills.","Physics: Research in Physics, Cosmology"
545,['Curtin University'],Australia,http://www.mastersportal.eu/studies/107637/physics.html,mphil,24,months,,,,,,,"Master Degrees (Research) prepare students to apply advanced knowledge for research, scholarship and further learning corresponding to AQF level 9 qualifications.",Physics
546,['Weizmann Institute of Science'],Israel,http://www.mastersportal.eu/studies/65493/physics-chemistry.html,msc,24,months,,,0,USD,year,,"As a Master’s degree student, you are required to participate in studies and research for a period of 24 months. Every academic year consists of two 14 to 16-week semesters. The studies include both required and elective courses, seminars, lab work (in certain fields of studies) and a thesis.",Physics Chemistry
547,['State University of New York Plattsburgh'],United States,http://www.mastersportal.eu/studies/200787/adolescence-education-physics-adolescence-education.html,,48,months,,,22210,USD,year,75,"The combined program in adolescence education
(grades 7-12) leads to a bachelor’s degree, a master’s
degree (awarded simultaneously), and initial and
professional certification in one of the following areas:
biology, chemistry, Earth science, English, French,
mathematics, physics, social studies, or Spanish. ",Adolescence Education - Physics Adolescence Education
548,['Bielefeld University'],Germany,http://www.mastersportal.eu/studies/106963/mathematical-and-theoretical-physics.html,msc,24,months,,,,,,,The faculties of Physics and of Mathematics have established a new interdisciplinary two year master program Mathematical and Theoretical Physics (MTP). The program has officially started this summer term 2014 after being accredited.,Mathematical and Theoretical Physics
549,['National University of Sciences and Technology'],Pakistan,http://www.mastersportal.eu/studies/195479/physics.html,msc,24,months,,,994,USD,semester,,"MPhil coursework will be of 24 credit hours, followed by a thesis of 6 credit hours. The PhD program will consist of 18 credit hours of coursework and 30 credit thesis. ",Physics
550,['University of New Haven'],United States,http://www.mastersportal.eu/studies/71739/lean-six-sigma.html,postgradcert,,,,,870,USD,credit,80,"Lean/Six Sigma, University of New Haven, approaches to production, operations, and processes translate to improved quality, shorter leadtime, and lower cost. Lean is needed for survival in the current global marketplace, and to become competitive means to become Lean.",Lean Six Sigma
551,"['Department of Physics', 'University of Paderborn']",Germany,http://www.mastersportal.eu/studies/11768/physics.html,msc,24,months,120,,,,,79,"M.Sc. in Physics with a main orientation in the fields of nanooptics, nanomaterials, optoelectronic semiconductors and/or computational physics. The complete programme is taught in both German and English.",Physics
552,"['College of Arts & Sciences', 'Oklahoma State University']",United States,http://www.mastersportal.eu/studies/124200/physics-option-in-photonics.html,msc,,,,,,,,79,"Photonics is an exciting, modern multidisciplinary field involving elements of applied physics, optics, electrical engineering, and biophysics.","Physics, Option in Photonics"
553,['Arizona State University'],United States,http://www.mastersportal.eu/studies/132105/nanoscience.html,,12,months,,,29560,USD,year,80,"The Professional Science Master's (PSM) in Nanoscience degree program consists of interdisciplinary courses that provide a knowledge base required for full appreciation of research and innovation in Nanoscience and Nanotechnology. Students may choose courses in physics, chemistry and biochemistry, materials science, engineering, biotechnology and intellectual property and innovation.",Nanoscience
554,"['University of Minnesota Twin Cities', 'College of Science and Engineering', 'Carlson School of Management']",United States,http://www.mastersportal.eu/studies/181393/chemical-physics.html,msc,,,,,,,,95,The Chemical physics program is offered at University of Minnesota Twin Cities.,Chemical Physics
555,"['University of Glasgow', 'College of Medical Veterinary and Life Sciences']",United Kingdom,http://www.mastersportal.eu/studies/45667/medical-physics.html,msc,12,months,,,20150,GBP,year,90,This taught Masters is designed to provide you with an advanced programme of study in Medical Physics. It provides an understanding of the application of physics and technology to a range of disciplines within medical physics at a level appropriate for a professional physicist. The Medical Physics programme is offered at the University of Glasgow.,Medical Physics
556,['Dartmouth College'],United States,http://www.mastersportal.eu/studies/63266/physics-and-astronomy.html,,24,months,,,,,,100,"The Department of Physics and Astronomy at Dartmouth offers a unique graduate program leading to the PhD degree. Here the world-class Dartmouth faculty---among the top researchers in the world in the targeted subjects of quantum and condensed matter physics, plasma and fluids, space physics, and astronomy, astrophysics and cosmology---work side-by-side with students.",Physics and Astronomy
557,"['Mathematical & Physical Sciences', 'University College London (UCL)']",United Kingdom,http://www.mastersportal.eu/studies/73103/mathematics-and-physics.html,,48,months,240,,20820,GBP,year,92,"This MSci offers an additional year of study on top of the Mathematics and Physics BSc, during which students have the opportunity to specialise further by taking more advanced courses and completing a major project.",Mathematics and Physics
558,"['TU Dresden', 'Faculty of Natural Sciences']",Germany,http://www.mastersportal.eu/studies/4653/nanobiophysics.html,msc,24,months,,,,,,80,"The Masters course aims to teach students the fundamentals in biophysics and bio-nanotechnology with a twofold aim: to use nanotechnological approaches to better characterize and understand complex molecular machines such as biomolecules, but also to harness these molecules in technological systems or use them as templates or model systems for a bottom-up nanotechnology.",Nanobiophysics
559,['University of Strathclyde'],United Kingdom,http://www.mastersportal.eu/studies/164413/physics.html,,60,months,,,18000,GBP,year,,"The MPhys teaches physics in greater depth than the BSc Honours degree. It’s for those of you who want to pursue a professional career in physics, with classes designed to meet the needs of the professional physicist.",Physics
560,['University of Tasmania'],Australia,http://www.mastersportal.eu/studies/168076/science.html,mres,24,months,,,32000,AUD,year,77,"A Masters by Research enables a candidate to develop knowledge of the principal doctrines of research in their discipline area and a substantive understanding of key conventions, norms and perspectives in the disciplinary or multi-disciplinary environment. ",Science (Natural and Physical Sciences)
561,['Hunter College'],United States,http://www.mastersportal.eu/studies/171518/physics.html,ma,,,,,23400,USD,year,60,"The MA in physics is offered as a terminal degree, either separately or as part of the BA/MA program. The MA in physics may also, with the approval of the CUNY Graduate Center, form part of the degree work required for the CUNY PhD degree. Thesis research toward the CUNY PhD may also be carried out at Hunter College.",Physics
562,['Southern Illinois University'],United States,http://www.mastersportal.eu/studies/95652/physician-assistant.html,msc,26,months,,,34530,USD,year,80,"The Southern Illinois University (SIU) School of Medicine (SOM) Physician Assistant (PA) Program began in 1997 and utilizes a problem-based learning (PBL) format for delivery of its medical curriculum.  The Program is part of the SIU School of Medicine.  The SIU PA Program has been a pioneer in using PBL, simulated patients, innovative evaluation techniques, and clinical mentoring programs.  ",Physician Assistant
563,"['School of Engineering', 'Aalto University']",Finland,http://www.mastersportal.eu/studies/63854/nordic-programme-in-polymer-technology.html,msc,24,months,120,,15000,EUR,year,92,The Nordic Programme in Polymer Technology is a double degree programme developed jointly by The Nordic Five Tech network (N5T). The Nordic Master Programme in Polymer Technology is offered by the Aalto University.,Nordic Programme in Polymer Technology
564,['University of Rochester'],United States,http://www.mastersportal.eu/studies/119196/optics.html,msc,12,months,,,1538,USD,credit,100,The optics MS program is designed to provide students with the knowledge and skills to contribute to state-of-the-art optics research and development.,Optics
565,"['Faculty of Science', 'University of Bristol']",United Kingdom,http://www.mastersportal.eu/studies/44710/philosophy-of-physics.html,ma,12,months,,,15500,GBP,year,,"The Department of Philosophy has exceptional research strength in philosophy of physics, and very strong links with the School of Physics. Our MA draws on these strengths and is intended both for students who wish to specialise in philosophy of physics, and for individuals with a background in physics or mathematics who wish to make a transition to philosophy and foundations of physics.",Philosophy of Physics
566,"['Faculty of Science', 'University of Amsterdam']",Netherlands,http://www.mastersportal.eu/studies/31627/mathematical-physics.html,msc,24,months,120,,14630,EUR,year,90,"The Master's programme in Mathematical Physics represents a unique combination of Mathematics and Physics, made possible by the coordination of two strong research institutes",Mathematical Physics
567,['Texas A&M University–Commerce'],United States,http://www.mastersportal.eu/studies/191039/physics.html,msc,12,months,,,15124,USD,year,79,"The Department of Physics provides coursework, training, and research experience to students who wish to further their education beyond the bachelor's level to achieve a greater degree of competency and recognition in their profession. ",Physics
568,['National Central University'],Taiwan,http://www.mastersportal.eu/studies/68761/biophysics.html,,24,months,,,20568,USD,module,,"National Central University, Biophysics - Biological related physical sciences have never been growing so rapidly, and it seems that it will keep on growing in the foreseeable future. The Graduate Institute of Biophysics at National Central University was officially established in 2004 (currently the only one in Taiwan ), even though biophysics research has been carried out for more than 10years in its parent: Physics Department.",Biophysics
569,['Rush University'],United States,http://www.mastersportal.eu/studies/144436/physician-assistant-program.html,msc,30,months,,,96000,USD,full,,"The mission of the Rush University PA Program is to educate advanced practice PAs to practice medicine with competence, professionalism and compassion driven by academic excellence and a spirit of service to the community.",Physician Assistant Program
570,"['Faculty of Physics and Astronomy', 'University of Wroclaw']",Poland,http://www.mastersportal.eu/studies/7694/theoretical-physics.html,msc,24,months,120,,3000,EUR,year,60,Comprehensive and up to date introduction to modern Theoretical Physics is  provided in connection  to the current research conducted at the Institute of Theoretical Physics from University of Wroclaw. Students can join one of  the active groups and take part in special projects.,Theoretical Physics
571,"['University of Ulm', 'Masters Programmes in English']",Germany,http://www.mastersportal.eu/studies/107085/biophysics.html,msc,24,months,,,0,EUR,full,88,Biophysics is a very exciting and rapidly expanding research field exploring new areas between physics and biology. The complexity of life is investigated at every level and analysed with physical methods. Physics helps understanding the mechanisms underlying the most basics biological systems and interactions.,Biophysics
572,"['School of Education', 'University of Pittsburgh']",United States,http://www.mastersportal.eu/studies/99957/science-education-mat.html,ma,,,,,,,,90,"The University of Pittsburgh, School of Education, offers a post-baccalaureate program for Science teacher certification (grades 7-12), the Master of Arts in Teaching Program (MAT). This program is appropriate for individuals with non-education backgrounds in their baccalaureate studies.",Science Education MAT
573,['The University of Western Australia'],Australia,http://www.mastersportal.eu/studies/77125/physics-medical-physics.html,msc,24,months,,,792,AUD,credit,82,"You can take the Master of Physics in either Astronomy and Astrophysics, Computational Physics, Experimental Physics, Medical Physics or Theoretical Physics.",Physics - Medical Physics
574,"['Saint Petersburg Electrotechnical University ""LETI""']",Russia,http://www.mastersportal.eu/studies/47807/laser-measuring-technology.html,,24,months,120,,1767,EUR,year,,"The structure of degree program consists of advanced professional studies, elective studies and a Masters Thesis.",Laser Measuring Technology
575,['University of Central Florida'],United States,http://www.mastersportal.eu/studies/66539/physics.html,msc,,,,,,,,80,"The Master of Science in Physics program provides many research opportunities  in condensed matter physics, nanostructure devices, surface science, optical physics, complex systems, biophysics, atomic and molecular physics, and planetary/space science.",Physics
576,['University of Michigan'],United States,http://www.mastersportal.eu/studies/78132/nuclear-engineering-and-radiological-sciences.html,msc,24,months,,,23367,USD,semester,84,"The graduate program in the Nuclear Engineering and Radiological Sciences at U-M is one of the most highly regarded nuclear engineering programs in the country, regularly ranked in the top two by U.S. News and World Report.",Nuclear Engineering and Radiological Sciences
577,"['Faculty of Science', 'University of Bath']",United Kingdom,http://www.mastersportal.eu/studies/88799/physics-with-astrophysics-five-years-with-professional-and-research-placements.html,,60,months,,,19000,GBP,year,90,Gain in-depth specialist knowledge of how to apply physics to understand the origins and evolution of the universe.,Physics with Astrophysics - Five years with professional and research placements
578,['Rensselaer Polytechnic Institute'],United States,http://www.mastersportal.eu/studies/115512/multidisciplinary-science.html,msc,24,months,,,70719,USD,year,88,"Traditionally, graduate degrees have focused on a single subject matter such as chemistry, physics, or mathematics.",Multidisciplinary Science
579,"['Polytechnic University of Turin', 'Environmental Enginnering']",Italy,http://www.mastersportal.eu/studies/159081/energy-and-nuclear-engineering.html,msc,24,months,120,,2602,EUR,year,,With the MSC degree program in Energy and Nuclear Engineering offered by Polytechnic University of Turin you deepen the scientific knowledge that is at the roots of specific energy and nuclear applications. ,Energy and Nuclear Engineering
580,"[""St. John's University"", 'St. Johns College of Liberal Arts and Sciences']",United States,http://www.mastersportal.eu/studies/88698/master-of-business-administration-in-mathematical-physics.html,mba,60,months,,,1215,USD,credit,,The combined baccalaureate and master’s program in Mathematical Physics and Business Administration is designed to provide highly-motivated students with the opportunity to complete their undergraduate and graduate degrees in five years of full-time study.,Master of Business Administration in Mathematical Physics
581,['California State University Fullerton'],United States,http://www.mastersportal.eu/studies/99843/physics.html,msc,24,months,,,14526,USD,year,80,"We are a tightly knit and friendly department where faculty, staff, and students know each other well and enjoy interacting and socializing in and out of the classroom and lab. We take pride in mentoring our students toward career paths in the courses we teach and with their involvement in our own research.",Physics
582,"['Faculty of Science and Engineering', 'University of Groningen']",Netherlands,http://www.mastersportal.eu/studies/721/applied-physics.html,msc,24,months,120,,14200,EUR,year,92,"The Master's degree programme in Applied Physics from University of Groningen  offers an excellent combination of fundamental research on the one hand, and an open eye to possible industrial applications on the other.",Applied Physics
583,['CUNY Brooklyn College'],United States,http://www.mastersportal.eu/studies/167455/physics-teacher.html,ma,,,,,,,,61,"The M.A., physics teacher program prepares students for a career in teaching at the high school level. It includes courses in education, as well as physics, which are designed to help graduate students become more effective high school physics teachers. The courses required by the Department of Secondary Education vary depending on the entry qualifications of students.",Physics Teacher (7-12)
584,['Depaul University'],United States,http://www.mastersportal.eu/studies/132479/physics.html,msc,24,months,,,38410,USD,year,96,The MS in Physics program is built around a core of five graduate courses and a selection of applied courses in the faculty's areas of expertise that are designed to tie into current areas of research and interest within both academia and industry.,Physics
585,,,http://www.mastersportal.eu/studies/53552/medical-radiation-physics.html,msc,12,months,90,,,,,,"Visit
  our website for more information on fees, scholarships, postgraduate loans
  and other funding options to study at Swansea University - 'Welsh University
  of the Year 2017' (Times and Sunday Times Good University Guide 2017).",Medical Radiation Physics
586,"['Karlsruhe Institute of Technology (KIT)', 'Karlsruhe School of Optics & Photonics (KSOP)']",Germany,http://www.mastersportal.eu/studies/20299/europhotonics.html,msc,24,months,120,,,,,90,The Europhotonics master course at Karlsruhe Institute of Technology (KIT) offers excellent teaching at top-level universities and individual study mobility throughout Europe.,Europhotonics
587,['University of Oregon'],United States,http://www.mastersportal.eu/studies/114492/applied-physics.html,msc,12,months,,,27591,USD,year,100,"Physics, the most basic of the natural sciences, is concerned with the discovery and development of the laws that describe our physical universe. This endeavor serves, also, to directly benefit humankind: integrated circuits found in computers, mobile phones, and solar cells, lasers in DVD players and computer mice, and the Internet itself were developed from fundamental physics discoveries.",Applied Physics
588,['UIT the Arctic University of Norway'],Norway,http://www.mastersportal.eu/studies/116429/earth-observation-physics.html,msc,24,months,120,,0,EUR,year,85,"The objective of the Earth Observation-Physics offered by the UIT the Arctic University of Norway discipline is to teach the techniques used in satellite remote sensing of the Earth, with a focus on environmental monitoring.",Earth Observation-Physics
589,['Worcester Polytechnic Institute'],United States,http://www.mastersportal.eu/studies/113615/physics.html,msc,,,,,26226,USD,year,84,"As an MS candidate in the Physics department at WPI you’ll be exposed to meaningful research and challenged to make your own exciting discoveries, guided by faculty members whose knowledge has led to greater understanding and significant advances in the ever-developing field of physics.",Physics
590,['McMaster University'],Canada,http://www.mastersportal.eu/studies/124722/engineering-physics.html,ma,24,months,,,12570,USD,year,92,The Department of Engineering Physics offers programmes of study leading to the M.Eng. degree in Engineering Physics and the Ph.D. degree in the fields of Nuclear Engineering and Microelectronics and Electro-optics. Ph.D. studies in other areas of departmental specialization can be undertaken through other academic departments in the Faculties of Science and Engineering.,Engineering Physics
591,['Northern Arizona University'],United States,http://www.mastersportal.eu/studies/55113/applied-geospatial-sciences.html,msc,24,months,,,34932,USD,year,80,"This academic plan is designed for students who want to pursue a career in managing land, community, and environmental spatial systems, including geographic information systems (GIS), geodesign, community planning and development, and recreation. The degree requires a research thesis or applied practicum project overseen by an advising committee.","Applied Geospatial Sciences (Custom Geography, Planning and Recreation)"
592,"['Universitat Autònoma de Barcelona', 'Ciencias y Ciencias Ambientales']",Spain,http://www.mastersportal.eu/studies/148538/reservoir-geology-and-geophysics.html,,12,months,60,,,,,,The master's degree Reservoir Geology and Geophysics is an interuniversity degree coordinated by the University of Barcelona and the Autonomous University of Barcelona. It is intended to provide students with training in the main lines of R&D&I currently pursued in the exploration and geological and geophysical characterization of geological reservoirs.,Reservoir Geology and Geophysics
593,"['Faculty of Physics', 'Warsaw University of Technology']",Poland,http://www.mastersportal.eu/studies/155137/photonics.html,msc,24,months,120,,2000,EUR,semester,87,"The M. Sc. in Photonics at Warsaw University of Technology teaches students fundamental notions on optics and photonics, including new trends and research results on lasers, crystal fibres, optical waveguides, displays, holography, and more. The Master prepares students for the challenges of the photonic industry, with courses in terahertz technology, photovoltaic issues and solid-state optics.",Photonics
594,"['University of Antwerp', 'Faculty of Science']",Belgium,http://www.mastersportal.eu/studies/11681/physics.html,msc,24,months,120,,2890,EUR,year,80,"In this programme, you will acquire knowledge in fundamental physics, material sciences, nanosciences and computational methods. Moreover, you will gain various competences through the advanced practicals and workshops proposed within the programme, all beneficial for your future professional activities.",Physics
595,['University of Southampton'],United Kingdom,http://www.mastersportal.eu/studies/159095/mathematical-physics.html,,48,months,240,,16054,GBP,year,,"This new four-year degree programme, grew out of their research collaboration and will take you to the frontier of knowledge in this exciting field, allowing you to study as an undergraduate, material that would normally be taught at MSc level.",Mathematical Physics
596,['Chulalongkorn University'],Thailand,http://www.mastersportal.eu/studies/62531/engineering-management.html,meng,18,months,,,29868,EUR,year,80,"This unique postgraduate dual-degree programme is designed primarily to develop professional managers, engineers or scientists for employment in the industry and business sectors. It leads to the degree of Master of Engineering in Engineering Management awarded by Chulalongkorn University and one of the three options of Master of Science degree awarded by the University of Warwick, namely Engineering Business Management, Supply Chain and Logistics Management, and International Technology Management.",Engineering Management
597,['Liverpool John Moores University'],United Kingdom,http://www.mastersportal.eu/studies/139942/astrophysics.html,msc,12,months,,,6100,GBP,year,,This MSc in Astrophysics is delivered by world-leading researchers at Liverpool John Moores University and is designed to facilitate further postgraduate and PhD study.,Astrophysics
598,['Baylor University'],United States,http://www.mastersportal.eu/studies/106696/physics.html,,24,months,,,1583,USD,module,80,"The Physics Department offers the Bachelor of Arts and Bachelor of Science degrees, the Doctor of Philosophy degree, and both thesis and non-thesis Master's of Science and Master's of Arts degrees. Graduate and undergraduate students in physics at Baylor University experience the benefits of a major American university, large enough to support a superior academic program while still allowing opportunities only available within a close-knit community of scholars.",Physics
599,"['The University of Manchester', 'School of Materials']",United Kingdom,http://www.mastersportal.eu/studies/19383/ceramics-glasses-msc-by-research.html,msc,12,months,,,21000,GBP,year,,The Ceramics and Glasses research degrees are part of a progressive research area within the school; we have close links with industry and research councils and we work collaboratively with them on many areas of research within the subject.,Ceramics & Glasses MSc by Research
600,"['Biological and Physical Sciences', 'University of Nairobi']",Kenya,http://www.mastersportal.eu/studies/95375/physics.html,msc,24,months,,,2204,EUR,year,,This is a revised M.Sc. Program that aims at providing sufficient basis for specialization in the various distinct areas of Physics as a subject. It captures the strengths of the Department in terms of expertise and infrastructure.,Physics (Revised)
601,['Purdue University'],United States,http://www.mastersportal.eu/studies/63742/health-physics.html,msc,12,months,,,41404,EUR,year,77,"Health physics is a profession devoted to the protection of people and the environment from the harmful effects of radiation, thus providing for the utilization of radiation for the benefit of mankind.",Health Physics
602,['Durham University'],United Kingdom,http://www.mastersportal.eu/studies/159951/physics.html,,48,months,,,22000,GBP,year,92,"Physics is central to the understanding of natural phenomena, from the smallest length scales probed in elementary particle accelerators to the grandest structures of the universe. Physics has also enhanced our lives by underpinning inventions such as mobile communications, the internet, solar cells and medical scanners. ",Physics
603,['San Francisco State University'],United States,http://www.mastersportal.eu/studies/107348/physics.html,msc,,,,,13882,USD,year,80,The department offers the Master of Science in Physics and the MS in Physics with a concentration in Astronomy.,Physics
604,['North Carolina State University'],United States,http://www.mastersportal.eu/studies/98013/biomanufacturing.html,msc,24,months,,,,,,80,"The Golden LEAF Biomanufacturing Training and Education Center (BTEC) offers two graduate degrees: a Master of Science (MS) in Biomanufacturing and a Master of Biomanufacturing (MR). Both are Professional Science Master's (PSM) degrees, which provide advanced education and training in a specific discipline while simultaneously developing business skills highly valued by employers.",Biomanufacturing
605,"['University of Nevada, Reno']",United States,http://www.mastersportal.eu/studies/120953/geophysics.html,msc,24,months,,,,,,,"Geophysics applies mathematical and physical principles to the study of the Earth and planets. The curriculum introduces the global properties of the Earth (gravity, magnetic field, crustal motions, interior dynamics) and the determination of near-surface and interior properties through the use of seismology, electromagnetics, potential fields, remote sensing, geodesy and GPS.",Geophysics
606,['University of Idaho'],United States,http://www.mastersportal.eu/studies/67138/physics.html,msc,,,,,38598,USD,year,79,"In this program, you will delve deep into your exploration of the laws of the universe and gain valuable research experiences that will prepare you to make your own groundbreaking contributions to the field.",Physics
607,['University of Kiel'],Germany,http://www.mastersportal.eu/studies/107029/climate-physics.html,msc,24,months,,,0,EUR,full,,"The study of climate physics (meteorology and physical oceanography) will provide students with advanced knowledge and skills using the terms and laws of physics in atmosphere, ocean and the climate system. Students will become familiar with experimental and theoretical methods, and will be guided toward current research.",Climate Physics
608,"['Technical University of Denmark (DTU)', 'Photonics']",Denmark,http://www.mastersportal.eu/studies/38045/photonics-engineering.html,msc,24,months,120,,13500,EUR,year,88,"Photonics Engineering is a highly interdisciplinary MSc programme concerned with fundamental physics of light and optical components as well as a wide range of applications which are essential to our high-tech society, for example our ability to communicate using IT technology.",Photonics Engineering
609,['Grenoble INP Institute of Engineering Univ. Grenoble Alpes'],France,http://www.mastersportal.eu/studies/19848/fluid-mechanics-and-energetics.html,msc,12,months,60,,270,EUR,full,60,"The Master’s degree in Fluid Mechanics and Energetics from Grenoble Institute of Technology is a highly competitive academic program. The selection is done on the basis of prior academic and/or scientific achievement as documented by academic transcripts, a cover letter, references, and standardized test scores. Students from countries where English language is not the primary language are required to provide TOEFL test scores.",Fluid Mechanics and Energetics
610,"['School of Physical Sciences', 'University of Kent']",United Kingdom,http://www.mastersportal.eu/studies/13535/physics.html,msc,24,months,120,,10830,GBP,year,,The School of  Physical Sciences from the University of Kent offers a two-year Master’s degree in Physics (Euromasters) in partnership with the South East Physics Network (SEPnet) which comprises Kent and nine other universities in the south and east of England.,Physics (Euromasters)
611,"['School of Chemistry', 'The University of Manchester']",United Kingdom,http://www.mastersportal.eu/studies/5610/polymer-materials-science-and-engineering.html,msc,12,months,,,21000,GBP,year,90,"The University of Manchester is regulated by the Higher Education Funding Council for England (HEFCE). HEFCE ensures we are accountable for the public funding we receive and oversees the quality of our education provision. To find out more about the regulator's role, visit theÂ HEFCE website.",Polymer Materials Science and Engineering
612,['Weizmann Institute of Science'],Israel,http://www.mastersportal.eu/studies/65484/physical-sciences.html,msc,24,months,,,0,USD,year,,"The MSc Physical Sciences has three available concentrations: (1) Physics, (2) Applied Physics and (3) Biological Physics.",Physical Sciences
613,"['Université François-Rabelais (Tours)', 'UFR Sciences et Techniques']",France,http://www.mastersportal.eu/studies/41582/fundamental-physics.html,,24,months,120,,450,EUR,year,,"The Master of Fundamental Physics is a prestigious degree that is specifically intended for students interested in the methods and concepts of fundamental physics in the wide range of topics concerned by non linear phenomena, including particle physics, quantum field theory, general relativity, cosmology, propagation of waves in complex media, disordered/chaotic systems. This programme is offered by Université François-Rabelais (Tours).",Fundamental Physics
614,['Pacific University Oregon'],United States,http://www.mastersportal.eu/studies/189586/physician-assistant-studies.html,msc,27,months,,,92743,USD,full,,The Master of Science in Physician Assistant Studies Program is designed to provide a comprehensive primary care training program that combines didactic coursework with clinical experiences to enable the graduate to work in a variety of practice settings.,Physician Assistant Studies
615,['University of Insubria'],Italy,http://www.mastersportal.eu/studies/154391/physics.html,msc,24,months,120,,156,EUR,full,,"The M. Sc. in Physics at the University of Insubria teaches students the fundamental notions of physics, from the experimental, theoretical and mathematical points of view. The Master offers courses on classical physics, relativistic and quantum physics, as well as courses on the related technology and the phenomenological applicability. Students will also be able to study a semester abroad.",Physics
616,"['Graduate Studies', 'Dalhousie University']",Canada,http://www.mastersportal.eu/studies/108953/physics-and-atmospheric-science.html,msc,24,months,,,19573,CAD,year,92,"Dalhousie is one of Canada's leading research-intensive universities, with an international reputation and world-class research facilities. Our graduate programs in Physics and Atmospheric Science provide students opportunities for research on campus with professors who are leaders in their particular fields of expertise.",Physics and Atmospheric Science
617,['Moscow Institute of Physics and Technology (MIPT)'],Russia,http://www.mastersportal.eu/studies/114041/physics-of-nanostructures.html,msc,24,months,,,2700,USD,year,,The programme provides students with knowledge of the latest fundamental and applied research in condensed matter nanophysics and light-matter interactions at nanoscale.,Physics of Nanostructures
618,['Tohoku University'],Japan,http://www.mastersportal.eu/studies/68528/international-materials-science-and-engineering-master-course.html,,24,months,,,,,,,"Tohoku University, International Materials Science and Engineering Master Course (IMSE) is committed to providing education and research programs of the highest international caliber. Drawing on a proud tradition, the many faculties, graduate schools, and associated research institutes are united in their aim to serve as a comprehensive center for creation of knowledge, and as a research university centered on the graduate schools in collaboration with education in the faculties.",International Materials Science and Engineering Master Course (IMSE)
619,['University of Massachusetts Amherst'],United States,http://www.mastersportal.eu/studies/113737/physics.html,msc,24,months,,,21442,USD,year,80,The Department of Physics offers graduate work leading to the degree of Doctor of Philosophy. Note: a Master of Science degree is offered only to current University of Massachusetts Amherst students.,Physics
620,['National Chiao Tung University'],Taiwan,http://www.mastersportal.eu/studies/68637/e-learning.html,,24,months,,,870,USD,semester,73,"The Degree Program of E-Learning is an interdisciplinary master program, organized by the Departments of Electrophysics, Applied Mathematics and Applied Chemistry, Institute of Statistics, and Institute of Physics. In addition, some faculties from the College of Biological Science and Technology, College of Computer Science, Institute of Education, Institute of Applied Arts, and the Center of General Education also participate in the program.",E-Learning
