,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name,
230,['Providence College'],United States,http://www.mastersportal.eu/studies/170797/administration.html,med,12,months,,,440,USD,year,90,"The Graduate Studies Program in Administration is designed to equip teachers with the skills necessary to become a school administrator. Recipients of Providence College master's degrees in administration have gone on to become assistant principals, principals, assistant superintendents, and superintendents.",Administration,
231,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74742/graduate-certificate-in-public-sector-financial-management.html,,,,,,,,,61,"The program is designed to familiarize students with financial management problems and the techniques available for solving them. An emphasis is placed on how to recognize, evaluate, and utilize financial information in decision-making.",Graduate Certificate in Public Sector Financial Management,
232,['University of Dayton'],United States,http://www.mastersportal.eu/studies/127718/public-administration.html,,24,months,,,873,USD,module,80,"For more than 40 years, the University of Dayton has prepared leaders for the nonprofit and public sectors. Our 39-hour master's degree program emphasizes a core of public management skills, teaching you through leading theory and practical application.",Public Administration,
233,['Leiden University'],Netherlands,http://www.mastersportal.eu/studies/189357/political-science.html,msc,24,months,120,,16600,EUR,year,110,"In this interdisciplinary research master’s students will be able to choose between a specialisation in political science or public administration, while also following courses in a combined curriculum.",Political Science (research),
234,['University of Baltimore'],United States,http://www.mastersportal.eu/studies/191424/public-administration-health-care-policy-and-administration.html,msc,24,months,,,9819,USD,year,79,"This dual-degree option is an opportunity to develop skills for managerial and legal positions in federal, state or local government agencies as well as in nonprofit or quasi-governmental organizations. You can earn both degrees concurrently by completing all required courses over a three- to four-year period.",Public Administration - Health-Care Policy and Administration,
235,['University of Kansas'],United States,http://www.mastersportal.eu/studies/114280/school-administration.html,,24,months,,,924,USD,credit,,"The Master's degree in Educational Administration (PK-12) at the University of Kansas School of Education consists of 36 credit hours of coursework, including an extensive field-based practicum and a comprehensive exam - all of which can be completed within two years.",School Administration (MSE),
236,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74658/public-administration.html,,,,,,,,,61,"The Center offers the Master of Public Administration degree; options in the degree program include Public Works Administration and Urban Affairs; and graduate certificate programs in Public Management Analyst, Employer-Employee Relations and Personnel Management, and Public Sector Financial Management.",Public Administration,
237,['Ryerson University'],Canada,http://www.mastersportal.eu/studies/98042/public-policy-and-administration.html,ma,12,months,,,21131,CAD,year,93,"This innovative program integrates the fields of public policy and public administration to reflect the theoretical and practical realities of the political context of policy development, implementation and analysis.",Public Policy and Administration,
238,['California State University Fresno'],United States,http://www.mastersportal.eu/studies/174621/public-administration-continuing-and-global-education.html,,24,months,,,372,USD,credit,80,"Courses and programs offered by the Department of Political Science are intended to help all students become more effective participants in a democratic society, as makers of public policy, and as individuals affected by those policies. The programs prepare political science and public administration majors for a wide variety of careers.",Public Administration - Continuing and Global Education,
239,['California State University Fresno'],United States,http://www.mastersportal.eu/studies/174618/public-administration.html,,24,months,,,372,USD,credit,80,"Courses and programs offered by the Department of Political Science are intended to help all students become more effective participants in a democratic society, as makers of public policy, and as individuals affected by those policies. Our programs prepare political science and public administration majors for a wide variety of careers.",Public Administration,
240,['Syracuse University'],United States,http://www.mastersportal.eu/studies/120944/public-administration.html,,12,months,,,33312,USD,year,90,"The Executive Master of Public Administration (EMPA) is open to individuals with substantial experience and managerial responsibility in the public, private, and nonprofit sectors (including NGOs).",Public Administration,
241,['University of Arkansas at Little Rock'],United States,http://www.mastersportal.eu/studies/141162/public-service.html,,12,months,,,690,USD,credit,71,The Master Public Service is offered by the University of Arkansas at Little Rock.,Public Service,
242,['Ohio State University'],United States,http://www.mastersportal.eu/studies/63576/public-administration.html,,24,months,,,32821,USD,year,100,The Master of Public Administration (MPA) program consists of a two-year full-time course of study that prepares students for leadership and analytical positions in the public and nonprofit sectors.,Public Administration,
243,['University of Canberra'],Australia,http://www.mastersportal.eu/studies/151542/graduate-certificate-in-academic-foundations.html,,3,months,,,9000,AUD,full,79,This course is designed for students who have met the academic but not the English language requirements for postgraduate study. It gives students the opportunity to develop and apply academic literacies and research skills in the English language environment and to gain advanced standing in their chosen course of study at the University of Canberra.,Graduate Certificate in Academic Foundations,
244,['University of Oregon'],United States,http://www.mastersportal.eu/studies/115157/public-administration.html,,24,months,,,27591,USD,year,88,"The University of Oregon’s Master of Public Administration (MPA) program prepares students to become evidence-based policy makers, analysts, and managers.  Evidence based policy making is a concept that has been gaining widespread acceptance in the policy community, both in the U.S. and internationally.",Public Administration,
245,"['The University of Tennessee at Chattanooga', 'College of Arts and Sciences']",United States,http://www.mastersportal.eu/studies/146956/public-administration.html,msc,24,months,,,694,USD,credit,79,"Welcome to the Master of Public Administration (MPA) Program at the University of Tennessee at Chattanooga. We offer graduate-level training for students who seek careers in public service.  We are located in the Department of Political Science & Public Service, a unit of UTC's College of Arts and Sciences.",Public Administration,
246,['University of Queensland'],Australia,http://www.mastersportal.eu/studies/64950/economics-and-public-policy.html,,18,months,,,33280,AUD,year,,"The 24-unit Master of Economics and Public Policy is an economics-focused, interdisciplinary program that examines the complex relationship between public policy, governance and economics.",Economics and Public Policy,
247,['University of Baltimore'],United States,http://www.mastersportal.eu/studies/191377/public-administration.html,msc,24,months,,,9819,USD,year,79,"This dual-degree option is an opportunity to develop skills for managerial and legal positions in federal, state or local government agencies as well as in nonprofit or quasi-governmental organizations. ",Public Administration,
248,['Eastern Washington University'],United States,http://www.mastersportal.eu/studies/142860/dual-degree-master-of-public-administration-and-master-of-business-administration.html,mba,36,months,,,1240,USD,credit,92,"The Master of Public Administration degree prepares people for leadership roles in organizations that provide public services or have important interactions with public service organizations. The EWU MPA program's approach to this task is ""reflective practice with a twist.""",Dual Degree: Master of Public Administration and Master of Business Administration,
249,"['Sciences Po School of Public Affairs', 'Sciences Po']",France,http://www.mastersportal.eu/studies/123430/public-affairs.html,,12,months,80,5,21000,EUR,year,,"The Master in Public Affairs (MPA) is Sciences Po's flagship full-time one-year programme for mid-career professionals interested in public policy and the interaction of public and private sectors. It prepares students for today's policy environment which is co-developed, co-produced and co-managed by empowered individuals.",Public Affairs,
250,['Clark University'],United States,http://www.mastersportal.eu/studies/61324/public-administration.html,,12,months,,,2370,USD,module,90,"This program, offered through Clark's College of Professional and Continuing Education (COPACE) teaches you the advanced managerial and analytical skills you need to be a highly effective administrator in nonprofit, governmental and service organizations.",Public Administration,
251,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74631/health-care-administration.html,msc,,,,,,,,61,"Graduates of HCA degree programs will achieve and demonstrate the following competencies: health care knowledge, leadership, presentation skills (oral communication), written communication skills, career marketability, teamwork, managing change, conceptual skills, managerial decision making, ethical decision making advocacy and conflict management.",Health Care Administration,
252,"['Michael D. Eisner College of Education', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/119393/educational-administration.html,ma,24,months,,,7866,USD,year,79,"The Department of Educational Leadership and Policy Studies from California State University Northridge offers programs leading to degrees and/or credentials in the field of Educational Administration. Students may pursue programs leading to an M.A. degree in Educational Administration, Higher Education or K-12, as well as studies directed at achieving the Preliminary and Clear Administrative Services Credentials.",Educational Administration,
253,['Columbus State University'],United States,http://www.mastersportal.eu/studies/162604/public-safety-administration.html,,12,months,,,9609,USD,year,79,"The Command College, in association with Columbus State University, provides a program of study that goes beyond what is currently available in public safety executive and management development courses, serving as a ""graduate school"" for public safety executives.",Public Safety Administration,
254,['Carnegie Mellon University'],United States,http://www.mastersportal.eu/studies/61183/public-management.html,,12,months,,,,,,,"The Master of Public Management program is designed to provide career-track professionals with management, analytical and leadership skills needed to assume professional roles in organizations across the public, private, government and not-for-profit sectors. The MPM program will help emerging and established professionals become effective and innovative leaders.",Public Management,
255,['The University of Texas at San Antonio'],United States,http://www.mastersportal.eu/studies/103645/public-administration.html,,24,months,,,20324,USD,year,79,"Founded in 1982, the UTSA Master of Public Administration (M.P.A.) degree program serves more than 160 enrolled students annually. The mission of the M.P.A. program is to educate responsible leaders and ethical public servants through a curriculum that incorporates research and practice.",Public Administration,
256,['East Tennessee University'],United States,http://www.mastersportal.eu/studies/118832/public-administration.html,,24,months,,,6798,CAD,semester,79,"The Planning and Development concentration uses the broader contexts of policy, management and finance to prepare students with the critical thinking they need to succeed in urban design, land use, economic and community development, housing, and environmental and infrastructure planning.
Graduates typically secure jobs in such organizations as the UN, USAID, the World Bank, local and state housing agencies and non-profit organizations that assist the homeless.",Public Administration (Planning and Development Concentration),
257,['Mississippi State University'],United States,http://www.mastersportal.eu/studies/130753/public-policy-and-administration.html,,24,months,,,6560,USD,semester,96,"The Department of Political Science and Public Administration offers the Master of Public Policy and Administration (MPPA) degree in both a traditional and an intensive-semester format. The degree program has a favorable faculty-to-student ratio that permits students to have close contact with faculty. The faculty maintains a broad research agenda, and several faculty members possess governmental service experience.",Public Policy and Administration,
258,"['Sawyer Business School', 'Suffolk University']",United States,http://www.mastersportal.eu/studies/66396/law-public-administration-jdmpa.html,,,,,,,,,80,The Master of Public Administration (MPA)/JD joint degree combines two complementary fields and offers vast career opportunities in law and public policy.,"Law, Public Administration JD/MPA",
259,['The University of Waikato'],New Zealand,http://www.mastersportal.eu/studies/73448/professional-management.html,mba,12,months,,,,,,90,The University of Waikato Master of Professional Management (MPM) is a full-time one year masters programme that is designed to prepare you for an advanced professional role in today's globally competitive market. The MPM is divided into three stages: Core Knowledge and Skills, Advanced Professional Knowledge and Applied Research and Professional Internship.,Professional Management (Public Relations)
260,"['Seton Hall University', 'College of Arts and Sciences']",United States,http://www.mastersportal.eu/studies/144425/public-administration.html,,,,,,1171,USD,credit,,Master Public Administration is offered by the Seton Hall University,Public Administration,
261,['University of Arkansas Fayetteville'],United States,http://www.mastersportal.eu/studies/175921/public-service.html,,24,months,,,400,USD,credit,79,"The Master of Public Service degree is offered at the University of Arkansas Clinton School in Little Rock, Arkansas, in collaboration with the University of Arkansas, the University of Arkansas at Little Rock, and the University of Arkansas for Medical Sciences.",Public Service,
262,['The City University of New York'],United States,http://www.mastersportal.eu/studies/128292/public-administration-inspection-oversight.html,,,,,,5065,USD,semester,,"CUNY has over 20 Public Administration programs catering to graduates who are pursuing careers catering to the needs of the community at large. Students can pursue an MPA in Nonprofit Administration, Policy Analysis and Evaluation, Higher Education Administration and much more.",Public Administration: Inspection & Oversight,
263,['Sam Houston State University'],United States,http://www.mastersportal.eu/studies/139531/public-administration.html,,12,months,36,,2619,USD,semester,,"The Masters of Public Administration program at Sam Houston State University is an online graduate program offering concentrations in disaster and emergency management (online), state and local government (traditional classroom setting), and comparative and international politics (traditional classroom setting). A student may, with the permission of the graduate director, pursue a concentration in other disciplines deemed more relevant to the student’s professional goals. This is the ideal graduate program for those wanting a career, or already working, in the public and nonprofit sectors.",Public Administration,
264,['University of Melbourne'],Australia,http://www.mastersportal.eu/studies/74379/public-administration.html,,18,months,,,39232,AUD,year,94,"The Master of Public Administration program is a unique cross-faculty initiative that is exclusively available to professionals who have at least three years of experience working in, or with government.",Public Administration,
265,['Texas Tech University'],United States,http://www.mastersportal.eu/studies/127490/public-administration.html,,24,months,,,16746,USD,module,79,The Master of Public Administration (MPA) provides professional knowledge and skills-based competence for working public administrators or students seeking a career as a manager or policy analyst in public or nonprofit agencies.,Public Administration,
266,,,http://www.mastersportal.eu/studies/142584/public-administration.html,,,,,,2739,USD,full,80,"Politics is the study of public power: Who has it? Who influences it? How does it work? Political science focuses on local, state, national, and international levels. The lessons of politics apply in all areas of life.",Public Administration,
267,['University of Michigan Flint'],United States,http://www.mastersportal.eu/studies/168720/public-administration-with-a-concentration-in-administration-of-nonprofit-agencies.html,,24,months,,,829,USD,credit,,"The concentration in Administration of Nonprofit Agencies is designed to serve principally those who seek advancement in careers in the not-for-profit sector. The concentration also will serve, and is appropriate for, those with bachelor’s degrees but no current or previous relevant employment. ",Public Administration with a Concentration in Administration of Nonprofit Agencies,
268,"['Hertie School of Governance', ""Master's Programmes and Executive Education""]",Germany,http://www.mastersportal.eu/studies/2336/public-policy.html,,24,months,120,,16250,EUR,year,100,"The Hertie School’s Master of Public Policy (MPP) programme at Hertie School of Governance offers an analytically challenging and problem-oriented education in governance, policy analysis, management and leadership, strengthened by real-world experience in the public and private sectors.",Public Policy (MPP),
269,['The University of Georgia'],United States,http://www.mastersportal.eu/studies/110917/college-student-affairs-administration.html,med,24,months,,,14063,USD,semester,80,"The primary purpose of the college student affairs administration program is to aid graduate students in acquiring the skills and competencies necessary to apply human development, interpersonal facilitation, group leadership, assessment, and administrative principles to work with college students in higher education organizations.",College Student Affairs Administration,
270,['Central Michigan University'],United States,http://www.mastersportal.eu/studies/139758/administration-acquisitions-administration.html,msc,12,months,,,13788,USD,year,79,"Become an invaluable asset to employers with your enhanced knowledge in purchasing, regulatory concepts, administrative law, strategic planning and acquisitions best practices. ",Administration - Acquisitions Administration,
271,['University of Houston'],United States,http://www.mastersportal.eu/studies/66625/public-administration.html,,,,,,,,,79,"The Master of Public Administration Program (MPA) provides higher levels of training and education for pre-service and in-service public managers, public policy analysts and public officials to address major public policy issues in a metropolitan scenario.",Public Administration,
272,['The University of Alabama at Birmingham'],United States,http://www.mastersportal.eu/studies/163617/public-administration.html,,24,months,,,935,USD,credit,,"The Master of Public Administration (MPA) program is a broad-based degree designed to help you hone the skills, knowledge, and competencies to pursue successful careers as public managers in government or the nonprofit sector. The Public Administration programme is delivered by the University of Alabama at Birmingham.",Public Administration,
273,"['Queen Mary University of London', 'Business Management']",United Kingdom,http://www.mastersportal.eu/studies/46079/public-administration.html,,12,months,,3,19150,GBP,year,,The Queen Mary Master of Public Administration (MPA) reflects our understanding of the vital importance of public sector management and our special expertise in providing management education to governments and the public services.,Public Administration,
274,['University of Baltimore'],United States,http://www.mastersportal.eu/studies/191388/public-administration-budgeting-and-fiscal-administration.html,msc,24,months,,,9819,USD,year,79,"This dual-degree option is an opportunity to develop skills for managerial and legal positions in federal, state or local government agencies as well as in nonprofit or quasi-governmental organizations. You can earn both degrees concurrently by completing all required courses over a three- to four-year period.",Public Administration - Budgeting and Fiscal Administration,
275,['Georgia Southern University'],United States,http://www.mastersportal.eu/studies/144734/public-administration.html,,24,months,,,,,,69,"The Master of Public Administration (MPA) program prepares students for careers in public and nonprofit organizations. With specialized concentrations in public management and nonprofit administration, students have the ability to develop technical skills and expertise in these important and growing areas.",Public Administration,
276,['Lamar University'],United States,http://www.mastersportal.eu/studies/144739/public-administration.html,,24,months,,,10114,USD,semester,,"Lamar University offers the master of public administration to graduate students interested in one of a broad spectrum of careers in public service - from management of public agencies to administration of non-profit organizations.  Available programs of study prepare Lamar students with the professional training, knowledge, skills and experience needed to successfully become an integral part of the efficient and responsive operation of the government.",Public Administration,
277,['Villanova University'],United States,http://www.mastersportal.eu/studies/58255/public-administration.html,,24,months,,3,925,USD,credit,80,"The Master of Public Administration is focused on helping you develop the skills you need to become an ethical, creative leader in the public service. We periodically update courses to reflect trends in the study of public administration as well as faculty expertise and interests.",Public Administration,
278,"['Indiana University South Bend', 'Ernestine M. Raclin School of the Arts']",United States,http://www.mastersportal.eu/studies/129659/public-affairs.html,ma,12,months,,,,,,90,The Master of Public Affairs (M.P.A.) degree requires the completion of 39-48 credit hours.,Public Affairs,
279,"['Graduate College', 'Marshall University']",United States,http://www.mastersportal.eu/studies/141412/public-administration.html,,24,months,,,8955,USD,semester,79,The mission of the Master’s Degree in Public Administration at Marshall University is to prepare graduate students to competently lead and manage government and non-profit agencies.,Public Administration,
280,['University of Akron'],United States,http://www.mastersportal.eu/studies/99728/public-administration.html,,24,months,,,802,USD,credit,79,"The Master of Public Administration is a 48 credit hour degree that prepares students for careers in public and nonprofit management. The program requires students to take 10 core courses (30 credit hours), five electives (15 credit hours), and an internship (3 credit hours). Specializations are offered in emergency management, nonprofit management, evaluation, and urban management.",Public Administration,
281,['University of Malaya'],Malaysia,http://www.mastersportal.eu/studies/186556/public-administration.html,,,,,,,,,80,"The programme synergies the expertise in political science and public administration of the faculty to develop an interdisciplinary approach in training students to address the challenges of governance, public administration and international relations in the national and regional context.",Public Administration,
282,['Ryerson University'],Canada,http://www.mastersportal.eu/studies/98070/urban-development.html,,24,months,,,21131,CAD,year,93,"This fully accredited program combines holistic examination and analysis of economic, socio-cultural, political, ecological and spatial elements in reimagining our communities structured around the intertwined dimensions of urban culture and nature. Students explicitly address the principles of inclusivity and sustainability in designing for development.",Urban Development,
283,"['College of Education and Public Policy', 'Indiana University-Purdue University Fort Wayne']",United States,http://www.mastersportal.eu/studies/126976/public-management.html,msc,12,months,,,751,USD,credit,79,"The Master of Public Management (M.P.M.) is an interdisciplinary professional program structured around concepts and skills essential to management, policy, and planning activities within governmental, quasi-governmental, and nonprofit organizations.",Public Management,
284,"['Faculty of Political, Administrative and Communication Sciences', 'University Babes-Bolyai']",Romania,http://www.mastersportal.eu/studies/12829/public-administration.html,,24,months,120,,619,EUR,year,,"Public administration in Romania has been involved in a reform process based on different types of internal and external pressures (growing expectations from citizens to regarding the level at which public services are provided, political, economic and social changes, new requirements due process Euro-Atlantic integration, etc.). It is obvious that, in this context, a conservative approach is unable to provide viable solutions. Management training of civil servants is a condition without which government would prove unable to address the latest challenges.",Public Administration,
285,['Western Michigan University'],United States,http://www.mastersportal.eu/studies/101095/public-administration.html,,24,months,,,27096,USD,year,80,"The M.P.A. at Western Michigan University School of Public Affairs and Administration is accredited by the Network of Schools of Public Policy, Affairs and Administration (NASPAA).",Public Administration,
286,['James Madison University'],United States,http://www.mastersportal.eu/studies/131313/public-administration.html,,,,,,1135,USD,module,88,"The MPA program of James Madison University promotes engaged citizenship and public service responsive to diverse needs and perspectives. The program cultivates effective and ethical analysts, managers and leaders for work in local, national and global contexts.",Public Administration (Concentration in Public Management),
287,"['Sociology and Social Policy', 'University of Nottingham']",United Kingdom,http://www.mastersportal.eu/studies/6900/public-administration.html,postgraddip,9,months,,,12870,GBP,year,,"PGDip Public Administration, University of Nottingham. The Postgraduate Diploma in Public Administration is an internationally recognised qualification providing the competencies and knowledge necessary for public service managers to manage creatively in challenging policy environments.",Public Administration,
288,['Texas A&M International University'],United States,http://www.mastersportal.eu/studies/184516/public-administration.html,,24,months,,,498,USD,credit,79,The Master of Public Administration Degree (MPA) is open to all students who hold any baccalaureate degree from an accredited institution and meet the requirements of the College of Arts and Sciences for graduate admission.,Public Administration,
289,['University of Maryland'],United States,http://www.mastersportal.eu/studies/163121/public-administration.html,,,,,,1404,USD,credit,100,"The School of Public Policy is one of the nation’s leading graduate programs devoted to the study of public policy, management and international affairs, with particular expertise in the fields of environmental policy, energy policy, international development, international security and economic policy, health policy, education policy, social policy, non-profit management, public management and leadership,acquisitions, and public finance. ",Public Administration,
290,['The University of Vermont'],United States,http://www.mastersportal.eu/studies/113885/public-administration.html,,,,,,1030,USD,module,90,"The Master of Public Administration at the University of Vermont is a professional interdisciplinary degree that prepares pre and in-service leaders, managers and policy analysts by combining the theoretical and practical foundations of public administration focusing on the complexity of governance systems and the democratic, collaborative traditions that are a hallmark of Vermont communities.",Public Administration,
291,['University of New Orleans'],United States,http://www.mastersportal.eu/studies/161534/public-administration.html,ma,,,,,13462,USD,year,79,"The Masters of Public Administration degree is a flexible professional degree for those interested in managing, leading, and most of all, serving the public.",Public Administration,
292,['Royal Military College of Canada'],Canada,http://www.mastersportal.eu/studies/189898/public-administration.html,ma,24,months,,,6585,CAD,semester,100,The Master of Public Administration (MPA) is an interdisciplinary academic degree. ,Public Administration,
293,['University of West Florida'],United States,http://www.mastersportal.eu/studies/192457/college-student-affairs-administration.html,med,24,months,,,1044,USD,credit,80,The Master of Education in College Student Affairs Administration program is designed for students interested in professional leadership in various student affairs and student services areas. ,College Student Affairs Administration,
294,['University of Regina'],Canada,http://www.mastersportal.eu/studies/126993/public-administration.html,,16,months,,,12274,EUR,year,80,"The Master of Public Administration (MPA) program, accredited by the Canadian Association of Programs in Public Administration (CAPPA), is designed to prepare students for careers in public administration and policy work in diverse areas such as non-government organizations, industry associations, and, of course, the public service.",Public Administration,
295,['Delaware State University'],United States,http://www.mastersportal.eu/studies/179627/public-administration.html,,24,months,,,16138,USD,year,79,"Our MPA can help you advance your career as an administrator, manager, and analyst in a variety of public sector and nonprofit settings; city and county administrator; human resource professional; and a wide range of other leadership and management positions in health care, education, nonprofit, and non-governmental organizations. ",Public Administration,
296,['California Lutheran University'],United States,http://www.mastersportal.eu/studies/163056/public-policy-and-administration.html,,24,months,,,27885,USD,year,,"The Master of Public Policy and Administration (MPPA) at Cal Lutheran is a comprehensive, multidisciplinary approach to public affairs education. This is a unique hybrid program designed to illuminate both sides of the work needed to create and manage public policy.",Public Policy and Administration,
297,['University of Winnipeg'],Canada,http://www.mastersportal.eu/studies/149192/joint-public-administration.html,,24,months,,,,,,,This Master's program is offered jointly by the Department of Political Science of The University of Winnipeg and the Department of Political Studies of The University of Manitoba.,Joint Public Administration,
298,['University of Melbourne'],Australia,http://www.mastersportal.eu/studies/62914/public-administration.html,,24,months,,,,,,79,"As an emerging leader in your field, studying the Master of Public Administration (MPA) will ground your theoretical and practical understanding of public administration.",Public Administration,
299,"['Erasmus University Rotterdam', 'Faculty of Social Sciences']",Netherlands,http://www.mastersportal.eu/studies/154128/public-administration.html,msc,12,months,60,,14500,EUR,full,,In the master programme of Public Administration at Erasmus University Rotterdam you learn how to manage complex societal problems within the public sector.,Public Administration,
300,"['Niels Brock', 'Vocational Education and Training']",Netherlands,http://www.mastersportal.eu/studies/151765/vet-main-program.html,,18,months,,,,,,,The main programme of the VET education is for students who have either completed the basic VET programme or have completed their Higher Commercial Course studies. The main programme combines academic studies at school with a paid trainee position at a company.,Vet Main Program,
301,['University of Wisconsin - River Falls'],United States,http://www.mastersportal.eu/studies/175379/principal-licensure.html,msc,24,months,,,750,USD,credit,77,"Students will complete 33 credits together in cohort fashion, finishing their degree in two years.",Principal Licensure,
302,['Long Island University (LIU)'],United States,http://www.mastersportal.eu/studies/97244/public-administration-degree-in-health-care-administration.html,,24,months,,,1178,USD,credit,79,"The 42-credit Master of Public Administration degree in Health Care Administration provides the comprehensive curriculum needed to succeed in a highly complex, competitive and ever-changing health care environment. Courses examine both practical and theoretical problems in the field and provide an understanding of a wide range of topics including organizational structures, administrative techniques, policy analysis and program management.",Public Administration degree in Health Care Administration,
303,['Australian National University'],Australia,http://www.mastersportal.eu/studies/94129/international-relations.html,,24,months,,,39024,AUD,year,80,Studying international relations at ANU means you will be studying the best program of its kind in Australia and graduating with one of the most respected degrees in this field in the world.,International Relations (Advanced),
304,['West Chester University of Pennsylvania'],United States,http://www.mastersportal.eu/studies/188073/public-administration-public-administration-concentration.html,,,,,,10875,USD,year,80,The mission of the Department of Public Policy and Administration at West Chester University is to provide high quality accessible public service education for a diverse group of emerging and existing public service leaders.,Public Administration  - Public Administration Concentration,
305,['University of Central Lancashire (UCLAN)'],United Kingdom,http://www.mastersportal.eu/studies/60269/human-resource-management-development.html,msc,12,months,,,12950,GBP,year,,The Human Resource Management/ Development programme at University of Central Lancashire (UCLAN) is intended for those with little or no work experience since graduation. Depending upon your option module choices and dissertation topic you may graduate with either an MSc in Human Resource Management (HRM) or an MSc in Human Resource Development (HRD).,Human Resource Management-Development,
306,['University of Arkansas Fayetteville'],United States,http://www.mastersportal.eu/studies/102312/public-administration.html,,,,,,24896,USD,year,79,The Master of Public Administration program is administered by the Department of Political Science.,Public Administration,
307,['Gallaudet University'],United States,http://www.mastersportal.eu/studies/183727/public-administration.html,ma,24,months,,,17626,USD,year,,"The program is especially appropriate for deaf, hard of hearing, and hearing professionals working in federal government agencies.",Public Administration,
308,['Georgia State University'],United States,http://www.mastersportal.eu/studies/103661/public-administration.html,,48,months,,,29822,USD,year,,"The master of public administration (MPA) is the degree of choice for individuals with an interest in public affairs and professional management in the public and nonprofit sectors. Whether you’re seeking a first job in government or with a nonprofit organization, or are interested in advancing in an existing career, Georgia State University’s MPA program provides skills and knowledge that government and nonprofit agencies are looking for. Join us as we explore new ideas and perspectives on public and nonprofit administration, policy and governance in the 21st Century.",Public Administration,
309,['The University of Georgia'],United States,http://www.mastersportal.eu/studies/111916/public-administration.html,ma,24,months,,,14063,USD,semester,80,"The Master degree in Public Administration is designed to educate students for administrative, managerial, and policy analytical careers in federal, state, and local levels of government and the nonprofit sector.",Public Administration,
310,['University of Tampere'],Finland,http://www.mastersportal.eu/studies/152492/leadership-for-change-politics-in-wider-europe.html,,24,months,120,,12000,EUR,year,90,"Master's Degree Programme in Leadership for Change - Politics in Wider Europe offered by University of Tampere enables developing the kind of knowledge and expertise that is needed to explain and understand complex phenomena, become a visionary leader, and to change the world.",Leadership for Change - Politics in Wider Europe,
311,"['College of Sciences and Humanities', 'Ball State University']",United States,http://www.mastersportal.eu/studies/129054/public-administration.html,,24,months,,,19404,USD,year,79,"If you already have a bachelor’s degree and want to prepare for a career in public management at a government agency or nonprofit organization, then a master of public administration (MPA) is the right choice for you.",Public Administration,
312,"['North Carolina Central University', 'Education']",United States,http://www.mastersportal.eu/studies/168956/school-administration.html,,24,months,,,,,,61,The vision of the MSA program is to prepare 21st Century school leaders who can engage school communities in meaningful ways to positively affect the achievement of students from diverse cultural contexts and from marginalized populations.,School Administration,
313,['Grand Valley State University'],United States,http://www.mastersportal.eu/studies/121776/public-administration.html,,24,months,,,770,USD,module,80,"The mission of the Master in Public Administration (M.P.A.) is to develop both the general knowledge and specific abilities needed for professional careers in public service organizations. The curriculum is designed to prepare students to act ethically and effectively in public management, urban and regional policy and planning, nonprofit management, criminal justice, and healthcare administration.",Public Administration,
314,['Universiti Sains Malaysia'],Malaysia,http://www.mastersportal.eu/studies/68210/public-administration.html,,18,months,,,4621,USD,year,80,"The University offers three modes of study for the graduate programmes, that is, by research, by mixed mode (a combination of coursework and research), and by coursework.",Public Administration,
315,['The University of New Hampshire'],United States,http://www.mastersportal.eu/studies/66845/public-administration.html,,,,,,,,,,The mission of the University of New Hampshire Master of Public Administration Program is to provide the public and nonprofit communities in New Hampshire and New England with an accessible and responsive curriculum designed to enhance the quality of professional management in those sectors.,Public Administration,
316,"['The Tseng College', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/136247/public-administration-public-sector-management-and-leadership.html,,24,months,,2,26028,USD,full,79,"The Public Administration - Public Sector Management and Leadership option within California State University Northridge 's MPA program develops and enhances management skills, enabling graduates to function more effectively within all types of public organizations.",Public Administration - Public Sector Management and Leadership,
317,"['Engineering and Computing Programs', 'Rochester Institute of Technology (R.I.T.) Dubai']",United Arab Emirates,http://www.mastersportal.eu/studies/103610/professional-studies-city-science.html,msc,12,months,,,35622,USD,year,79,This interdisciplinary and innovative master degree responds to the demands for professionals with a technical and comprehensive vision of the urban phenomenon beyond the concept of Cities and train practitioners in a scientific understanding of cities that considers our built environments and the people who inhabit it.,Professional Studies: City Science,
318,"['College of Social and Behavioral Sciences', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/119824/public-administration-geographical-information-systems-and-technologies.html,,24,months,,2,7866,USD,year,79,"The Master of Public Administration - Geographical Information Systems and Technologies at California State University Northridge is the appropriate professional degree program for administrators who are currently employed in the public, private or nonprofit sectors and who wish to improve their management knowledge and skills. ",Public Administration - Geographical Information Systems and Technologies,
319,"['College of Social and Behavioral Sciences', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/119845/public-administration-health-administration.html,,24,months,,,7866,USD,year,79,"The Master of Public Administration - Health Administration at California State University Northridge   is the appropriate professional degree program for administrators who are currently employed in the public, private or nonprofit sectors and who wish to improve their management knowledge and skills.",Public Administration - Health Administration,
