,Country,CourseLink,CourseName,Duration,From,International Entry Req,The World Rank,Tuition fees,University,Venue
75, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-food-technology-food-biotechnology-and-biorefining/56544246/program.html?nationCode=87&nationCntryCode=87,MSc in Food Technology - Food Biotechnology and Biorefining,"Full Time
(2 Years)",01 Sep,"Students holding a BSc degree or equivalent in one of the following fields are eligible for the MSc program Food Technology: Food Technology or related, Food Science or related, General agriculture/Agronomy with specialization Food Technology, Dairy Technology, Post -Harvest Technology (when focused on food science), Nutrition, Chemical Engineering, Laboratory Sciences, Biotechnology. Students with other BSc degrees can be admitted based on the actual program in their BSc and/or relevant work experience. A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade. The language of instruction in Master of Science programs at Wageningen University is in English. Admission to the MSc Food Technology requires a certain level and knowledge of the English language. To get admission to the MSc program you will have to prove that you’re English is sufficient. The standard level English as defined by Wageningen University is always sufficient.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
76, USA,https://www.hotcoursesabroad.com/india/course/us-usa/doctor-of-philosophy-ph-d-marine-estuarine-environmental-sciences-environmental-molecular-biology-biotechnology/56529708/program.html?nationCode=87&nationCntryCode=87,Doctor of Philosophy (Ph.D.) in Marine Estuarine Environmental Sciences - Environmental Molecular ...,"Full Time
(Minimum of 36 credits)","29 Aug, 25 Jan","You must have earned a four-year baccalaureate degree from a regionally accredited US institution, or an equivalent degree from a nationally recognized non-US institution.
You must have earned a 3.0 GPA (on a 4.0 scale) in all prior undergraduate and graduate coursework.
Other English language requirements
Paper-Based TOEFL (PBT) - University of Maryland passing score (575), Maryland English Institute (474 to 574);", 67,"USD $1,404 per credit.",University of Maryland,"College of Agriculture and Natural Resources

University of Maryland,
COLLEGE PARK,
Maryland,
20742, United States"
77, USA,https://www.hotcoursesabroad.com/india/course/us-usa/integrated-b-s-animal-sciences-master-of-biotechnology-biotechnology/56139978/program.html?nationCode=87&nationCntryCode=87,Integrated B.S. in Animal Sciences - Master of Biotechnology in Biotechnology,"Full Time
(Variable)","11 Jan, 09 May","Students must have a GPA of 3.5 at the time of application to the integrated degree program when they have completed at least 75 credits of their B.S. curriculum. The GRE scores normally required in the Master of Biotechnology in Biotechnology program will be waived for applicants to the integrated B.S.-Master of Biotechnology degree.
Graduate courses carry numbers from 500 to 599 and 800 to 899. Advanced undergraduate courses numbered between 400 and 499 may be used to meet some graduate degree requirements when taken by graduate students. Courses below the 400 level may not. A graduate student may register for or audit these courses in order to make up deficiencies or to fill in gaps in previous education but not to meet requirements for an advanced degree.
Students must have completed sec/post-secondary school. The following are ways in which you can satisfy the language proficiency requirement:

SAT: Score of 530 or higher on the critical reading section (code #2660)
ACT: Score of 24 or higher on the English section (code #3656)
IGCSE: Score of A, B, or C on the English language exam
International Baccalaureate (IB): Score of 5 or higher on the English Language and Literature (SL/HL) exam
U.S. College or University: Completed two years of full-time academic coursework at a U.S. college or university and have a grade of C (2.0) or higher in a standard English composition course
IECP: Receive official certification through Penn State's Intensive English Communication Program (IECP).", 68,"$20,422.00 (13,15,156) 
per year",Pennsylvania State University University Park Campus,"Eberly College of Science, Department of Biochemistry and Molecular Biology

108 Althouse Lab,
The Pennsylvania State University,
UNIVERSITY PARK,
Pennsylvania,
16802, United States"
78, USA,https://www.hotcoursesabroad.com/india/course/us-usa/integrated-b-s-biotechnology-master-of-biotechnology-biotechnology-program/56139976/program.html?nationCode=87&nationCntryCode=87,Integrated B.S. in Biotechnology - Master of Biotechnology in Biotechnology Program,"Full Time
(Variable)","11 Jan, 09 May","Students must have a GPA of 3.5 at the time of application to the integrated degree program when they have completed at least 75 credits of their B.S. curriculum. The GRE scores normally required in the Master of Biotechnology in Biotechnology program will be waived for applicants to the integrated B.S.-Master of Biotechnology degree.
Graduate courses carry numbers from 500 to 599 and 800 to 899. Advanced undergraduate courses numbered between 400 and 499 may be used to meet some graduate degree requirements when taken by graduate students. Courses below the 400 level may not. A graduate student may register for or audit these courses in order to make up deficiencies or to fill in gaps in previous education but not to meet requirements for an advanced degree.
Students must have completed sec/post-secondary school. The following are ways in which you can satisfy the language proficiency requirement:

SAT: Score of 530 or higher on the critical reading section (code #2660)
ACT: Score of 24 or higher on the English section (code #3656)
IGCSE: Score of A, B, or C on the English language exam
International Baccalaureate (IB): Score of 5 or higher on the English Language and Literature (SL/HL) exam
U.S. College or University: Completed two years of full-time academic coursework at a U.S. college or university and have a grade of C (2.0) or higher in a standard English composition course
IECP: Receive official certification through Penn State's Intensive English Communication Program (IECP).", 68,"$20,422.00 (13,15,156) 
per year",Pennsylvania State University University Park Campus,"Eberly College of Science, Department of Biochemistry and Molecular Biology

108 Althouse Lab,
The Pennsylvania State University,
UNIVERSITY PARK,
Pennsylvania,
16802, United States"
79, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-biotechnology/45354/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology,"Full Time
(Variable)","11 Jan, 09 May","The program is appropriate for students with a baccalaureate degree in biological sciences, chemistry, or engineering or other baccalaureate degrees that include sufficient credits from relevant courses in the life sciences. Applicants must have a minimum junior/senior grade point average of 3.00 (on a 4.00 scale). Graduate Record Examinations (GRE) scores are required with a combined total of at least 1700 points for the verbal, quantitative, and analytical tests. Typically, students are admitted as part of a cohort to commence studies in the fall. The best-qualified applicants will be accepted up to the number of spaces available for new students. 
Students must have completed sec/post-secondary school. The following are ways in which you can satisfy the language proficiency requirement:

SAT: Score of 530 or higher on the critical reading section (code #2660)
ACT: Score of 24 or higher on the English section (code #3656)
IGCSE: Score of A, B, or C on the English language exam
International Baccalaureate (IB): Score of 5 or higher on the English Language and Literature (SL/HL) exam
U.S. College or University: Completed two years of full-time academic coursework at a U.S. college or university and have a grade of C (2.0) or higher in a standard English composition course
IECP: Receive official certification through Penn State's Intensive English Communication Program (IECP).", 68,"$20,422.00 (13,15,156) 
per year",Pennsylvania State University University Park Campus,"Eberly College of Science, Department of Biochemistry and Molecular Biology

108 Althouse Lab,
The Pennsylvania State University,
UNIVERSITY PARK,
Pennsylvania,
16802, United States"
80, Hong Kong,https://www.hotcoursesabroad.com/india/course/hongkong/mphil-phd-molecular-biotechnology/54763788/program.html?nationCode=87&nationCntryCode=87,MPhil-PhD in Molecular Biotechnology,"Full Time
(5 years)","09 Jan, 15 May","To be admitted to the MPhil stream, applicants should satisfy one of the following: graduated from a recognized university and obtained a bachelor's degree, normally with honours not lower than Second Class; obtained an honours programme from a recognized university with a bachelor's degree, normally achieving an average grade of not lower than “B”; completed a course of study in a tertiary educational institution and obtained professional or similar qualifications equivalent to an honours degree. For the Doctor of Philosophy stream, they should hold one of the following: master's degree holder from a recognized university; graduate from a recognized university and obtained a bachelor's degree, normally with honours not lower than second class; be graduated from an honours programme of a recognized university with a bachelor's degree, normally achieving an average grade of not lower than ""B""; or completed a course of study in a tertiary educational institution and obtained professional or similar qualifications equivalent to an honours degree. Preference is given to applicants who hold a degree in molecular biotechnology, biochemistry, biology or related fields from a recognized university.
Other English Language Requirements

Possess a pass grade in English in one of the following examinations: Hong Kong Advanced Level Exam (AS Level); Hong Kong Higher Level Exam; CUHK Matriculation Exam; or
Achieve Level 4 or above in the English Language subject of the Hong Kong Diploma of Secondary Education (HKDSE) Examination; or
Have a degree from a university in Hong Kong or an English speaking country; or
TOEFL (normally not lower than 550 Paper-based or 213 computer-based);
GMAT (Verbal, normally not lower than 21); or
Have obtained a recognized professional qualification awarded in Hong Kong or an English speaking country.", 76,"HK$42,100.00 (3,48,129) 
per year	
The given tuition fee is for 2015-16 academic year and is subject to change",The Chinese University of Hong Kong,"The Chinese University of Hong Kong

Shatin,
 Sha Tin, Hong Kong, New Territories"
81, Australia,https://www.hotcoursesabroad.com/india/course/australia/doctor-of-philosophy-phd-biotechnology-research/53927160/program.html?nationCode=87&nationCntryCode=87,Doctor of Philosophy (PhD) in Biotechnology by Research,"Full Time
(3 years)",24-Jul-17,Candidates with a Master’s degree with a significant research component and thesis in a relevant discipline are in general considered eligible for admission to a PhD program. They should also satisfy the following English Language requirements: TOEFL (PBT): 577 overall with a minimum score of 5.0 in the Test of Written English (TWE); University English Entry Course (UEEC): successful completion of the UEEC with a grade of C plus and a minimum score of 20 in the writing component; PTE (Academic) - Pearson Test of English academic: 64 overall (min. 54 in each subtest); Certificate of Proficiency in English (CPE): B grade; Certificate in Advanced English (CAE): A grade; successful completion of the ANU College Access Program with a minimum of 70 per cent overall., 78,"A$38,160.00 (18,29,016) 
per year	
AUD $171,280 for the entire course",University of New South Wales - UNSW,"University of New South Wales - UNSW

Kensington Campus,
High Street, Kensington,
UNSW SYDNEY,
New South Wales,
2052, SYDNEY, Australia"
82, Australia,https://www.hotcoursesabroad.com/india/course/australia/graduate-diploma-research-specialization-biotechnology-and-biomolecular-science/55904954/program.html?nationCode=87&nationCntryCode=87,Graduate Diploma (Research) Specialization in Biotechnology and Biomolecular Science,"Full Time
(1 year)",24-Jul-17,"To be accepted for admission into the program students are typically expected to have a Bachelor degree with a good pass in a related, but not necessarily directly relevant discipline to their chosen area of study. Due to the diverse nature of the disciplines within the program, details of acceptable disciplines considered for admission are shown in relevant plan pages in the Handbook. A 'good pass' is considered to be a weighted average mark of 55-64. However, particular disciplines within Science may have additional entry requirements due to the competitive nature of some disciplines and the number of research places available within a School. They should also satisfy the following English Language requirements: TOEFL (PBT): 577 overall with a minimum score of 5.0 in the Test of Written English (TWE); University English Entry Course (UEEC): successful completion of the UEEC with a grade of C plus and a minimum score of 20 in the writing component; PTE (Academic) - Pearson Test of English academic: 64 overall (min. 54 in each subtest); Certificate of Proficiency in English (CPE): B grade; Certificate in Advanced English (CAE): A grade; successful completion of the ANU College Access Program with a minimum of 70 per cent overall.", 78,"A$36,960.00 (17,71,500) 
per year",University of New South Wales - UNSW,"University of New South Wales - UNSW

Kensington Campus,
High Street, Kensington,
UNSW SYDNEY,
New South Wales,
2052, SYDNEY, Australia"
83, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-philosophy-mphil-research-science-biotechnology/56754738/program.html?nationCode=87&nationCntryCode=87,Master of Philosophy (MPhil) (Research) in Science - Biotechnology,"Full Time
(1.5 years)",24-Jul-17,They should also satisfy the following English Language requirements: TOEFL (PBT): 577 overall with a minimum score of 5.0 in the Test of Written English (TWE); University English Entry Course (UEEC): successful completion of the UEEC with a grade of C plus and a minimum score of 20 in the writing component; PTE (Academic) - Pearson Test of English academic: 64 overall (min. 54 in each subtest); Certificate of Proficiency in English (CPE): B grade; Certificate in Advanced English (CAE): A grade; successful completion of the ANU College Access Program with a minimum of 70 per cent overall., 78,"A$40,080.00 (19,21,042) 
per year	
AUD $84,560 for the entire course",University of New South Wales - UNSW,"University of New South Wales - UNSW

Kensington Campus,
High Street, Kensington,
UNSW SYDNEY,
New South Wales,
2052, SYDNEY, Australia"
84, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-science-biotechnology-research/51819114/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology by Research,"Full Time
(2 years)",24-Jul-17,"Students must have completed an undergraduate degree, from a recognised tertiary institution, in a relevant field of study. They should also satisfy the following English Language requirements: TOEFL (PBT): 577 overall with a minimum score of 5.0 in the Test of Written English (TWE); University English Entry Course (UEEC): successful completion of the UEEC with a grade of C plus and a minimum score of 20 in the writing component; PTE (Academic) - Pearson Test of English academic: 64 overall (min. 54 in each subtest); Certificate of Proficiency in English (CPE): B grade; Certificate in Advanced English (CAE): A grade; successful completion of the ANU College Access Program with a minimum of 70 per cent overall.", 78,"A$38,160.00 (18,29,016) 
per year	
AUD $80,720 for the entire course",University of New South Wales - UNSW,"University of New South Wales - UNSW

Kensington Campus,
High Street, Kensington,
UNSW SYDNEY,
New South Wales,
2052, SYDNEY, Australia"
85, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-biochemistry-and-molecular-biology/55678202/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology: Biochemistry and Molecular Biology,"Full Time
(2 years)",31-Jul-17,"Students must have a bachelor’s degree with a relevant major, or equivalent as recognised by the faculty.
Other English language requirements
Cambridge English: Advanced (CAE) - minimum grade 58 (C); Cambridge Certificate of Proficiency in English (CPE) - minimum grade 45 (C); PTE (Academic) - an overall score of 64 with a minimum score of 59 in the speaking and writing sections, and no less than 54 in the listening and reading sections. Unless otherwise noted, requirements apply to individual scores for the communicative skills sections which include listening, reading, speaking and/or writing; TOEFL - Essay Rating / Test of Written English (TWE) of 4.5 and either 230 (Computer-based) or 570 (Paper-based) score or other English language test.", 125,"A$36,000.00 (17,25,487) 
per year",The University of Western Australia (UWA),"The University of Western Australia (UWA)

35 Stirling Highway,
CRAWLEY,
Western Australia,
6009, PERTH, Australia"
86, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-environmental-biotechnology/55678208/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology: Environmental Biotechnology,"Full Time
(2 years)",31-Jul-17,"Students must have a bachelor’s degree with a relevant major, or equivalent as recognised by the faculty.
Other English language requirements
Cambridge English: Advanced (CAE) - minimum grade 58 (C); Cambridge Certificate of Proficiency in English (CPE) - minimum grade 45 (C); PTE (Academic) - an overall score of 64 with a minimum score of 59 in the speaking and writing sections, and no less than 54 in the listening and reading sections. Unless otherwise noted, requirements apply to individual scores for the communicative skills sections which include listening, reading, speaking and/or writing; TOEFL - Essay Rating / Test of Written English (TWE) of 4.5 and either 230 (Computer-based) or 570 (Paper-based) score or other English language test.", 125,"A$36,000.00 (17,25,487) 
per year",The University of Western Australia (UWA),"The University of Western Australia (UWA)

35 Stirling Highway,
CRAWLEY,
Western Australia,
6009, PERTH, Australia"
87, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-genetics-and-breeding/55678214/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology: Genetics and Breeding,"Full Time
(2 years)",31-Jul-17,"Students must have a bachelor’s degree with a relevant major, or equivalent as recognised by the faculty.
Other English language requirements
Cambridge English: Advanced (CAE) - minimum grade 58 (C); Cambridge Certificate of Proficiency in English (CPE) - minimum grade 45 (C); PTE (Academic) - an overall score of 64 with a minimum score of 59 in the speaking and writing sections, and no less than 54 in the listening and reading sections. Unless otherwise noted, requirements apply to individual scores for the communicative skills sections which include listening, reading, speaking and/or writing; TOEFL - Essay Rating / Test of Written English (TWE) of 4.5 and either 230 (Computer-based) or 570 (Paper-based) score or other English language test.", 125,"A$36,000.00 (17,25,487) 
per year",The University of Western Australia (UWA),"The University of Western Australia (UWA)

35 Stirling Highway,
CRAWLEY,
Western Australia,
6009, PERTH, Australia"
88, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-genetics-and-genomics/55678216/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology: Genetics and Genomics,"Full Time
(2 years)",31-Jul-17,"Students must have a bachelor’s degree with a relevant major, or equivalent as recognised by the faculty.
Other English language requirements
Cambridge English: Advanced (CAE) - minimum grade 58 (C); Cambridge Certificate of Proficiency in English (CPE) - minimum grade 45 (C); PTE (Academic) - an overall score of 64 with a minimum score of 59 in the speaking and writing sections, and no less than 54 in the listening and reading sections. Unless otherwise noted, requirements apply to individual scores for the communicative skills sections which include listening, reading, speaking and/or writing; TOEFL - Essay Rating / Test of Written English (TWE) of 4.5 and either 230 (Computer-based) or 570 (Paper-based) score or other English language test.", 125,"A$36,000.00 (17,25,487) 
per year",The University of Western Australia (UWA),"The University of Western Australia (UWA)

35 Stirling Highway,
CRAWLEY,
Western Australia,
6009, PERTH, Australia"
89, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biology-entrepreneurial-biotechnology/56569580/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biology - Entrepreneurial Biotechnology,"Full Time
(2 years)","29 Aug, 17 Jan",A bachelor's degree is required for unconditional admission to the graduate school. Applicants must have a B-average or rank in the upper third of their graduating class at an institution where status and programs are readily assessed. Other English Language Requirements: TOEFL minimum score of 577 if paper-based., 126,"$42,576.00 (27,41,852) 
per year",Case Western Reserve University,"College of Arts and Sciences

Crawford Hall,
10900 Euclid Avenue,
CLEVELAND,
Ohio,
44106, United States"
90, UK,https://www.hotcoursesabroad.com/india/course/uk/industrial-biotechnology-msc/56210618/program.html?nationCode=87&nationCntryCode=87,Industrial Biotechnology MSc,"Full Time
(1 year)",Sep-17,"Students need IELTS: (Academic): 6.5 with a minimum of 6.0 in each section; PTE: 61, with no less than 55 in each component; CAE and CPE (from January 2015): 176, with no less than 169 in each component; CAE (before January 2015): 65, with 'Good' in Writing; CPE (before January 2015): C; TOEFL: 87, with a minimum of 21 in each component and Trinity ISE: level 3 with Merit in all components.", 129,"£20,300.00 (16,85,012) 
per year",the Department of Computer Science & Electronics,"University of York

Heslington,
York,
York,
YO10 5DD, England"
91, UK,https://www.hotcoursesabroad.com/india/course/uk/molecular-biotechnology-msc/52994846/program.html?nationCode=87&nationCntryCode=87,Molecular Biotechnology MSc,"Full Time
(1 year)",Sep-17,Students need to have an IELTS score of 6.0 with no less than 5.5 in any band., 130,"£19,890.00 (16,50,979) 
per year",University of Birmingham,"Edgbaston Campus

Edgbaston,
Birmingham,
Birmingham,
B15 2TU, England"
92, USA,https://www.hotcoursesabroad.com/india/course/us-usa/llm-biotechnology-and-genomics/56289128/program.html?nationCode=87&nationCntryCode=87,LLM in Biotechnology and Genomics,"Full Time
(1 year)",17-Aug-17,"Students must have earned a bachelor’s degree or higher from a regionally accredited institution in the U.S. or the equivalent of a U.S. bachelor’s degree from an international institution that is officially recognized by that country. You must have maintained a “B” (3.00 on a 4.00 scale) grade point average (GPA) in the last 60 semester hours or 90 quarter hours of undergraduate course work. Other English Language requirements: Minimum score of 500 (paper-based), 173 (computer-based), on the Test of English as a Foreign Language (TOEFL). Minimum Pearson Test of English (PTE) of 53.", 131,"$30,682.00 (19,75,890) 
per year",Arizona State University,"Tempe Campus

TEMPE,
Arizona,
85287, United States"
93, USA,https://www.hotcoursesabroad.com/india/course/us-usa/mba-master-of-business-administration-m-s-medical-sciences-biotechnology/88934/program.html?nationCode=87&nationCntryCode=87,MBA - Master of Business Administration/M.S. in medical sciences (biotechnology),"Full Time
(3 years)",05 Jan,"A recognized baccalaureate, graduate or professional degree from a regionally accredited U.S. institution or a comparable degree from an international institution.
A minimum score on one of these English Language Skills tests: Test of English as a Foreign Language (TOEFL): 550 paper; Michigan English Language Assessment Battery (MELAB): 77, or documented successful completion of the University of Florida English Language Institute program.", 134,"$30,074.00 (19,36,736) 
per year	
This fee is same for both degree",University of Florida,"Warrington College of Business

100 BRY,
PO Box 117150,
GAINESVILLE,
Florida,
32611, United States"
94, USA,https://www.hotcoursesabroad.com/india/course/us-usa/mba-master-of-business-administration-m-s-medical-sciences-biotechnology/56151052/program.html?nationCode=87&nationCntryCode=87,MBA - Master of Business Administration/M.S. in medical sciences (biotechnology),"Full Time
(3 years)",05 Jan,"A recognized baccalaureate, graduate or professional degree from a regionally accredited U.S. institution or a comparable degree from an international institution.
A minimum score on one of these English Language Skills tests: Test of English as a Foreign Language (TOEFL): 550 paper; Michigan English Language Assessment Battery (MELAB): 77, or documented successful completion of the University of Florida English Language Institute program.", 134,"$30,074.00 (19,36,736) 
per year	
This fee is same for both degree",University of Florida,"College of Medicine

PO Box 100215,
GAINESVILLE,
Florida,
32610, United States"
95, USA,https://www.hotcoursesabroad.com/india/course/us-usa/m-eng-bioengineering-environmental-biotechnology/56556430/program.html?nationCode=87&nationCntryCode=87,M.Eng. in Bioengineering - Environmental Biotechnology,"Full Time
(2 years)",To be confirmed,"Curriculum Overview
The bioengineering master's program has two components: an interdisciplinary core curriculum, including one class outside of students' chosen sub-specialty to increase the breadth of bioengineering knowledge; and courses required by the department for students' chosen track.
The Biomechanical Systems and Devices track investigates the application of technology to human biological systems. Areas of study include the mechanics of hard and soft tissues, human biomechanics, dynamics of human-machine interaction, and the design of assistive technology and medical devices. Students develop a foundation with core courses in thermal-fluid processes, mechanics and materials, or dynamic/robotic systems, and specialize in a particular area of study through the appropriate selection of elective courses.", 135,"$27,472.00 (17,69,169) 
per year",Tufts University,"School of Engineering

105 Anderson Hall,
200 College Avenue,
MEDFORD,
Massachusetts,
02155, United States"
96, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ph-d-biotechnology-engineering/1184/program.html?nationCode=87&nationCntryCode=87,Ph.D. in Biotechnology Engineering,"Full Time
(Maximum Time Duration 5 Year)","06 Sep, 19 Jan","Applicants to the Ph.D. in Chemical Engineering program are generally expected to hold a B.S. or M.S. degree in Chemical Engineering. Applicants with degrees in closely related engineering disciplines (such as Materials Science and Engineering or Polymer Engineering) who already have a working knowledge of the core course content of this program (i.e., partial differential equations describing heat, mass, and momentum transfer processes, chemical kinetics/reactors and catalysis, chemical thermodynamics) are also encouraged to apply.", 135,"$31,156.00 (20,06,415) 
per year",Tufts University,"School of Engineering, Department of Chemical and Biological Engineering

Science and Technology Center,
4 Colby Street,
MEDFORD,
Massachusetts,
02155, United States"
97, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ph-d-chemistry-biotechnology/1208/program.html?nationCode=87&nationCntryCode=87,Ph.D. in Chemistry - Biotechnology,"Full Time
(Maximum Time Duration 5 Year)","06 Sep, 19 Jan",A college or university degree earned in the United States or in one of the countries listed above prior to submission of this application., 135,"$29,936.00 (19,27,848) 
per year",Tufts University,"School of Arts and Sciences

Ballou Hall, 3rd Floor,
MEDFORD,
Massachusetts,
02155, United States"
98, UK,https://www.hotcoursesabroad.com/india/course/uk/applied-biopharmaceutical-biotechnology-and-entrepreneurship-abbe-msc/54206682/program.html?nationCode=87&nationCntryCode=87,Applied Biopharmaceutical Biotechnology and Entrepreneurship (ABBE) MSc,"Full Time
(1 year)",Sep-17,Applicants need IELTS 6.5 (no less than 6.0 in any element)., 147,"£20,250.00 (16,80,861) 
per year",University of Nottingham,"Sutton Bonington Campus

Lenton Lane,
Nottingham,
NG7 2NR, United Kingdom"
99, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-msc/56812762/program.html?nationCode=87&nationCntryCode=87,Biotechnology MSc,"Full Time
(1 year)",Sep-17,Applicants need IELTS 6.0 (no less than 5.5 in any element)., 147,"£20,250.00 (16,80,861) 
per year",University of Nottingham,"Sutton Bonington Campus

Lenton Lane,
Nottingham,
NG7 2NR, United Kingdom"
100, UK,https://www.hotcoursesabroad.com/india/course/uk/cancer-immunology-and-biotechnology-msc/52684968/program.html?nationCode=87&nationCntryCode=87,Cancer Immunology and Biotechnology MSc,"Full Time
(1 year)",Sep-17,Applicants need IELTS 6.5 (no less than 6.0 in any element)., 147,"£22,365.00 (18,56,418) 
per year",University of Nottingham,"Queen's Medical Centre

Nottingham Education Centre,
Nottingham,
NG7 2HA, United Kingdom"
101, UK,https://www.hotcoursesabroad.com/india/course/uk/risk-analysis-social-processes-and-health-mphil/56829050/program.html?nationCode=87&nationCntryCode=87,"Risk Analysis, Social Processes and Health MPhil","Full Time
(4 years)","Aug-17, Sep-17, Oct-17, Nov-17, Dec-17",Applicants need IELTS 6.5 (6.0)., 147,"£20,070.00 (16,65,920) 
per year",University of Nottingham,"University Park Campus

University of Nottingham,
Nottingham,
Nottingham,
NG7 2RJ, England"
102, UK,https://www.hotcoursesabroad.com/india/course/uk/risk-analysis-social-processes-and-health-phd/56836564/program.html?nationCode=87&nationCntryCode=87,"Risk Analysis, Social Processes and Health PhD","Full Time
(4 years)","Aug-17, Sep-17, Oct-17, Nov-17, Dec-17",Applicants need IELTS 6.5 (6.0)., 147,"£20,070.00 (16,65,920) 
per year",University of Nottingham,"University Park Campus

University of Nottingham,
Nottingham,
Nottingham,
NG7 2RJ, England"
103, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biotechnology/55457430/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology,"Full Time
(30 credit hours)",21-Aug-17,"Students must have a U.S. bachelor's degree or its recognized equivalent and also either SAT or ACT score. Graduate Record Examinations (quantitative, verbal, and analytical) and the subject GRE test for Biology, Biochemistry, or Cellular and Molecular Biology is recommended. International students are required to submit results for the Test of English as a Foreign Language (TOEFL) exam. Students are also required to take IU's English Proficiency Examination (IEPE) upon arrival at the university by their department to determine if they must take any English courses. They must agree to take any English courses prescribed from the results of this examination. Finally, if students are eligible for an associate instructorship position, they must meet additional English language requirements, including passing the Test of English Proficiency for International Associate Instructor Candidates (TEPAIC).", 150,"$22,800.00 (14,68,297) 
per year",Indiana University Bloomington,"College of Arts and Sciences

Owen Hall,
790 E. Kirkwood Avenue?,
BLOOMINGTON,
Indiana,
47405, United States"
104, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/master-s-programme-industrial-and-environmental-biotechnology/52817352/program.html?nationCode=87&nationCntryCode=87,Master's Programme in Industrial and Environmental Biotechnology,"Full Time
(2 Years)",29 Aug,"A completed Bachelor´s degree including courses in cell biology, biochemistry, microbiology and gene technology/molecular biology corresponding to a total of at least 20 ECTS credits, courses in chemistry corresponding to at least 30 ECTS credits, as well as courses in mathematics, numerical analysis and computer science corresponding to a total of at least 20 ECTS credits.
Other English language requirements:
TOEFL Paper-based test: total result of 575 (written test, minimum grade 4.5); University of Cambridge ESOL Examinations (Cambridge ESOL): Cambridge English: Advanced (CAE) Certificate in Advanced English, Cambridge English: Proficiency (CPE) (Certificate of Proficiency in English); Michigan English Language Assessment Battery (MELAB) for English 6: Minimum score of 90; University of Michigan, ECPE (Examination for the certificate of Proficiency in English); Pearson PTE Academic for English 6: Score of 62 (writing 61).", 159,"SEK145,000.00 (10,84,499) 
per year",Kth Royal Institute of Technology,"KTH Royal Institute of Technology

Brinellvägen 8,
STOCKHOLM,
SE-100 44, Sweden"
105, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/phd-doctor-of-philosophy-biotechnology/56535334/program.html?nationCode=87&nationCntryCode=87,PhD - Doctor of Philosophy in Biotechnology,"Full Time
(4 years)","29 Aug, 17 Jan","The general entry requirements are met by those who have:

a degree at the advanced level (master's/second cycle), or
fulfilled course requirements corresponding to at least 240 credits, of which a minimum of 60 credits are at the advanced level (master's/second cycle) or
otherwise acquired largely equivalent knowledge

Special entry requirements
The special requirements may relate to:

knowledge from higher education or equivalent studies
special professional or vocational experience
necessary language skills or other conditions determined by the programme, subject or project.

Language requirements
Students should have the necessary skills in English to enable them to follow courses, cope with compulsory literature, manage everyday communication within the working environment and defend a thesis in English. Requirements regarding skills in the Swedish language may also be imposed.", 159,No tuition fees.,Kth Royal Institute of Technology,"KTH Royal Institute of Technology

Brinellvägen 8,
STOCKHOLM,
SE-100 44, Sweden"
